ma_window,version,return_col,evaluated_return_col,n_obs,hml_mean_daily,hml_ann_return,hml_ann_vol,hml_sharpe,hml_t_stat,hml_win_rate,hml_max_drawdown
10,long_flat,gross_map_vs_passive,hml_return,2476,-0.00010909728894522565,-0.027492516814196864,0.12482130165135695,-0.22025500816348834,-0.6904000942225729,0.4907108239095315,-0.43782311829130605
10,long_flat,gross_strategy_return,hml_return,2476,2.3031129454805982e-05,0.0058038446226111075,0.13880437434136583,0.04181312476750578,0.13106528437164316,0.4947495961227787,-0.31328909729325505
10,long_flat,net_map_vs_passive,hml_return,2476,-0.00010630540751844925,-0.02678896269464921,0.12486100311404838,-0.2145502761192788,-0.6725183326513974,0.4979806138933764,-0.43588044214264277
10,long_flat,net_map_vs_zero,hml_return,2476,2.5823010881582416e-05,0.006507398742158769,0.13879109176327797,0.046886285419944565,0.1469673545295675,0.49676898222940225,-0.3098585263429834
10,long_flat,net_strategy_return,hml_return,2476,2.5823010881582416e-05,0.006507398742158769,0.13879109176327797,0.046886285419944565,0.1469673545295675,0.49676898222940225,-0.3098585263429834
10,long_flat,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
10,long_short,gross_map_vs_passive,hml_return,2476,-0.0002181945778904513,-0.05498503362839373,0.2496426033027139,-0.22025500816348834,-0.6904000942225729,0.4907108239095315,-0.7051999360845456
10,long_short,gross_strategy_return,hml_return,2476,-8.606615949041965e-05,-0.021688672191585753,0.17974167378592193,-0.12066579627725986,-0.3782328393523988,0.5109046849757674,-0.49830899841569065
10,long_short,net_map_vs_passive,hml_return,2476,-0.00021246617250029312,-0.05354147547007387,0.24972061312662766,-0.21440551022083307,-0.6720645568632303,0.4979806138933764,-0.703155105171813
10,long_short,net_map_vs_zero,hml_return,2476,-8.033775410026147e-05,-0.02024511403326589,0.17977657697574864,-0.1126126349374029,-0.3529898113087419,0.5100969305331179,-0.4974163794747206
10,long_short,net_strategy_return,hml_return,2476,-8.033775410026147e-05,-0.02024511403326589,0.17977657697574864,-0.1126126349374029,-0.3529898113087419,0.5100969305331179,-0.4974163794747206
10,long_short,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
20,long_flat,gross_map_vs_passive,hml_return,2476,3.717610328784436e-05,0.009368378028536779,0.12504080315896893,0.07492256760880221,0.2348484521092894,0.49434571890145396,-0.42733670834711623
20,long_flat,gross_strategy_return,hml_return,2476,0.00016930452168787598,0.04266473946534475,0.13975538898179712,0.30528153351497417,0.9569198959903079,0.5044426494345718,-0.2558436898807609
20,long_flat,net_map_vs_passive,hml_return,2476,3.849030694453576e-05,0.009699557350023012,0.12504173357357265,0.077570560426659,0.24314871509169575,0.5012116316639742,-0.4273357175587682
20,long_flat,net_map_vs_zero,hml_return,2476,0.00017061872534456757,0.042995918786831025,0.13972210379898145,0.3077245304629063,0.9645775893935195,0.5125201938610663,-0.2584117116092989
20,long_flat,net_strategy_return,hml_return,2476,0.00017061872534456757,0.042995918786831025,0.13972210379898145,0.3077245304629063,0.9645775893935195,0.5125201938610663,-0.2584117116092989
20,long_flat,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
20,long_short,gross_map_vs_passive,hml_return,2476,7.435220657568872e-05,0.018736756057073558,0.25008160631793785,0.07492256760880221,0.2348484521092894,0.49434571890145396,-0.6944552724854902
20,long_short,gross_strategy_return,hml_return,2476,0.00020648062497572025,0.0520331174938815,0.18151195095386238,0.2866649673503181,0.8985653589409665,0.5246365105008077,-0.5340559195795128
20,long_short,net_map_vs_passive,hml_return,2476,7.696498768705605e-05,0.019395176897138124,0.25008313575262603,0.07755491724289315,0.24309968076718286,0.5012116316639742,-0.6944554227432544
20,long_short,net_map_vs_zero,hml_return,2476,0.00020909340608708774,0.05269153833394611,0.18146140150923257,0.2903732578702982,0.9101891769224335,0.5250403877221325,-0.5373136678882937
20,long_short,net_strategy_return,hml_return,2476,0.00020909340608708774,0.05269153833394611,0.18146140150923257,0.2903732578702982,0.9101891769224335,0.5250403877221325,-0.5373136678882937
20,long_short,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
60,long_flat,gross_map_vs_passive,hml_return,2476,-6.84097824723858e-05,-0.01723926518304122,0.12470631051486772,-0.13823891599283522,-0.43331664247941887,0.48747980613893377,-0.4262608939354172
60,long_flat,gross_strategy_return,hml_return,2476,6.371863592764583e-05,0.01605709625376675,0.14318816698109496,0.11213982686074023,0.351507771270702,0.4911147011308562,-0.34004701242578184
60,long_flat,net_map_vs_passive,hml_return,2476,-6.250307811051181e-05,-0.015750775683848976,0.12469255820499923,-0.12631688619263157,-0.3959464570474703,0.4947495961227787,-0.4228633403440887
60,long_flat,net_map_vs_zero,hml_return,2476,6.962534028951988e-05,0.01754558575295901,0.14317898365725773,0.1225430248545393,0.38411710413001987,0.4931340872374798,-0.3345209138802845
60,long_flat,net_strategy_return,hml_return,2476,6.962534028951988e-05,0.01754558575295901,0.14317898365725773,0.1225430248545393,0.38411710413001987,0.4931340872374798,-0.3345209138802845
60,long_flat,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
60,long_short,gross_map_vs_passive,hml_return,2476,-0.0001368195649447716,-0.03447853036608244,0.24941262102973544,-0.13823891599283522,-0.43331664247941887,0.48747980613893377,-0.6929837139195454
60,long_short,gross_strategy_return,hml_return,2476,-4.691146544739984e-06,-0.001182168929274476,0.1863386058286461,-0.006344197564521757,-0.019886197516386442,0.5218093699515347,-0.4669452120218691
60,long_short,net_map_vs_passive,hml_return,2476,-0.00012493203192941144,-0.03148287204621168,0.2493845313129194,-0.12624228086828698,-0.39571260300988687,0.49434571890145396,-0.6893143545038309
60,long_short,net_map_vs_zero,hml_return,2476,7.1963864706201955e-06,0.0018134893905962892,0.18630732872960473,0.00973385965523814,0.030511259104435338,0.5218093699515347,-0.46617427444783177
60,long_short,net_strategy_return,hml_return,2476,7.1963864706201955e-06,0.0018134893905962892,0.18630732872960473,0.00973385965523814,0.030511259104435338,0.5218093699515347,-0.46617427444783177
60,long_short,passive_return,hml_return,2476,0.0001321284184000317,0.03329636143680799,0.1933570636648931,0.17220142262045246,0.5397737803726794,0.5024232633279483,-0.4142894173338125
120,long_flat,gross_map_vs_passive,hml_return,2417,-0.00027074328368160007,-0.06822730748776322,0.1224551877519905,-0.5571614297464028,-1.7255164303013792,0.48779478692594125,-0.546198153238874
120,long_flat,gross_strategy_return,hml_return,2417,-0.00013782144867536888,-0.034731005066192956,0.13900776681796662,-0.24984938511870264,-0.7737779324014699,0.48903599503516754,-0.58437756315297
120,long_flat,net_map_vs_passive,hml_return,2417,-0.0002694675975693397,-0.0679058345874736,0.1224492995072454,-0.5545628669231837,-1.717468739619209,0.48944973107157635,-0.5451815435233214
120,long_flat,net_map_vs_zero,hml_return,2417,-0.0001365457625631086,-0.03440953216590337,0.13901230081435312,-0.24752868605387876,-0.7665907795363455,0.4940008274720728,-0.5839582318418415
120,long_flat,net_strategy_return,hml_return,2417,-0.0001365457625631086,-0.03440953216590337,0.13901230081435312,-0.24752868605387876,-0.7665907795363455,0.4940008274720728,-0.5839582318418415
120,long_flat,passive_return,hml_return,2417,0.00013292183500623113,0.03349630242157024,0.19093933443210445,0.17542903101236634,0.5432997677198648,0.502689284236657,-0.39439177598843544
120,long_short,gross_map_vs_passive,hml_return,2417,-0.0005414865673632001,-0.13645461497552644,0.244910375503981,-0.5571614297464028,-1.7255164303013792,0.48779478692594125,-0.8195095998553432
120,long_short,gross_strategy_return,hml_return,2417,-0.0004085647323569689,-0.10295831255395615,0.17938515839614902,-0.5739511198946904,-1.7775137234803526,0.4886222589987588,-0.7867422376305111
120,long_short,net_map_vs_passive,hml_return,2417,-0.0005389581804740353,-0.1358174614794569,0.2448981130101,-0.5545876193576695,-1.7175453973527046,0.48944973107157635,-0.8187037055456523
120,long_short,net_map_vs_zero,hml_return,2417,-0.0004060363454678042,-0.10232115905788665,0.17938394911228728,-0.5704030910471128,-1.766525557852188,0.4898634671079851,-0.7862291919102635
120,long_short,net_strategy_return,hml_return,2417,-0.0004060363454678042,-0.10232115905788665,0.17938394911228728,-0.5704030910471128,-1.766525557852188,0.4898634671079851,-0.7862291919102635
120,long_short,passive_return,hml_return,2417,0.00013292183500623113,0.03349630242157024,0.19093933443210445,0.17542903101236634,0.5432997677198648,0.502689284236657,-0.39439177598843544
