symbol,best_model_name,best_status,selection_criterion,sample_start,sample_end,sample_size,reliability,best_aic,best_bic,best_loglikelihood,traditional_diag_pass,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,hl_screen_decision,hl_screen_pvalue,hl_screen_pvalue_adj_symbol,hl_screen_M_robust,hl_screen_M_iid,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,fit_warnings,fit_warning_flag,params_json,best_by_aic,best_by_bic
AG,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8771.58072904392,8806.613154401517,-4379.79036452196,True,0.09867775930398229,0.214679716519996,0.28098021170164916,VARIANCE_NOT_COMPUTED,,,,1.0420200929665828,False,fourth_moment_warning:t_nu=3.1640,False,ok,,False,"{""mu"": 0.03340877457807639, ""omega"": 0.022501521714729616, ""alpha[1]"": 0.11727792859989551, ""gamma[1]"": 0.04447961321817227, ""beta[1]"": 0.9960523866113249, ""nu"": 3.164025424458047}",19_AR1_EGARCH11_t,08_EGARCH11_t
AL,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7047.080458614169,7076.2741464121655,-3518.5402293070847,True,0.5203645053073183,0.08694968817038025,0.08827896757177546,VARIANCE_NOT_COMPUTED,,,,0.5035544828015268,True,ok,False,ok,,False,"{""mu"": 0.03581934601070892, ""omega"": 0.008891396694873583, ""alpha[1]"": 0.05994504940213572, ""beta[1]"": 0.9338527923736496, ""nu"": 1.2488128844384112}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
AU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,5841.483103762128,5876.515529119723,-2914.741551881064,True,0.7451366962701333,0.11965632042197265,0.13928076772160758,VARIANCE_NOT_COMPUTED,,,,0.8475397582372522,True,ok,False,ok,,False,"{""mu"": 0.053356474104366, ""omega"": 0.007952068952017369, ""alpha[1]"": 0.1598406756335941, ""gamma[1]"": 0.0639431858030121, ""beta[1]"": 0.9842262906548404, ""nu"": 4.235036705486843}",10_EGARCH21_t,08_EGARCH11_t
CF,10_EGARCH21_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7437.285508787857,7478.156671705052,-3711.6427543939285,True,0.18171524309633547,0.842680409067352,0.8497584574913846,VARIANCE_NOT_COMPUTED,,,,0.15132315894172338,False,fourth_moment_warning:t_nu=3.2287,False,ok,,False,"{""mu"": 0.017854228669660962, ""omega"": 0.029042741913063705, ""alpha[1]"": 0.36993950671489534, ""alpha[2]"": -0.19996843272695888, ""gamma[1]"": -0.0026327080698834455, ""beta[1]"": 0.9901554559217595, ""nu"": 3.2286876045853576}",10_EGARCH21_t,10_EGARCH21_t
CU,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7022.399730748794,7063.268133957694,-3504.199865374397,True,0.060699509187965316,0.3042331560559078,0.3226444502308513,VARIANCE_NOT_COMPUTED,,,,-0.7521706298992101,True,ok,False,ok,,False,"{""Const"": 0.03305761769726271, ""ret_pct[1]"": -0.06450248786548884, ""omega"": 0.012894335119366562, ""alpha[1]"": 0.19217599534306248, ""gamma[1]"": 0.019629971349315836, ""beta[1]"": 0.9750591744268765, ""nu"": 4.84672195299532}",19_AR1_EGARCH11_t,18_AR1_GARCH11_t
FG,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9693.413469576326,9734.281872785226,-4839.706734788163,True,0.9013508307722813,0.9384658637705827,0.9473650025723577,VARIANCE_NOT_COMPUTED,,,,-2.198086505834368,True,ok,False,ok,,False,"{""Const"": 0.021357959964106103, ""ret_pct[1]"": -0.046109089049713996, ""omega"": 0.011904638187311283, ""alpha[1]"": 0.09060339890501548, ""gamma[1]"": 0.010914830559015478, ""beta[1]"": 0.9965619662923384, ""nu"": 4.251023586921628}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
HC,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8703.363343745952,8744.231746954852,-4344.681671872976,True,0.6804057227301487,0.9223816086184685,0.9211174870664866,VARIANCE_NOT_COMPUTED,,,,-0.6879099904404582,True,ok,False,ok,,False,"{""Const"": 0.03497973810764799, ""ret_pct[1]"": -0.049708804651417936, ""omega"": 0.01226490872303629, ""alpha[1]"": 0.14178160163512768, ""gamma[1]"": 0.012832201002180448, ""beta[1]"": 0.9930341143202774, ""nu"": 5.455776844747738}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
I,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,11096.001918546008,11136.873081463204,-5541.000959273004,True,0.1003757077352231,0.8100234478132884,0.8186318533806547,VARIANCE_NOT_COMPUTED,,,,2.338415648433764,True,ok,False,ok,,False,"{""mu"": 0.05537134905568475, ""omega"": 0.010350647654336066, ""alpha[1]"": 0.0946054703069272, ""gamma[1]"": 0.026597981533091994, ""beta[1]"": 0.9963785395571874, ""eta"": 5.772934609251379, ""lambda"": -0.08701996970885242}",09_EGARCH11_skewt,09_EGARCH11_skewt
JM,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,11234.489250917035,11275.357654125935,-5610.2446254585175,True,0.570755020089077,0.9787330159439468,0.9794473082473346,VARIANCE_NOT_COMPUTED,,,,-1.2283419194868006,True,ok,False,ok,,False,"{""Const"": 0.06391471178885536, ""ret_pct[1]"": -0.04676218510657641, ""omega"": 0.01567422981064478, ""alpha[1]"": 0.10377544797876143, ""gamma[1]"": 0.029316161197251372, ""beta[1]"": 0.9952779544137067, ""nu"": 4.801271919207189}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
M,14_TARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7906.424368475765,7941.45679383336,-3947.2121842378824,True,0.9369048212283488,0.992898697063835,0.9914650389509809,VARIANCE_NOT_COMPUTED,,,,-0.6696085498273611,False,fourth_moment_warning:t_nu=3.8361,True,review_persistence_proxy_not_hard_filter:1.0260,,False,"{""mu"": 0.023278237551474238, ""omega"": 0.022395795743700143, ""alpha[1]"": 0.06943909510886553, ""gamma[1]"": -0.06389549993209762, ""beta[1]"": 0.9565960905384089, ""nu"": 3.83605230001795}",16_APARCH11_t,14_TARCH11_t
MA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9630.620047290487,9659.813735088484,-4810.310023645244,True,0.6974269570407887,0.3503423466919582,0.3775131712863249,VARIANCE_NOT_COMPUTED,,,,0.7517905259879654,True,ok,False,ok,,False,"{""mu"": 0.002783880999386766, ""omega"": 0.03612673596456837, ""alpha[1]"": 0.04815597579511283, ""beta[1]"": 0.9409551565400422, ""nu"": 1.3048190672253828}",05_GARCH11_ged,05_GARCH11_ged
OI,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7846.1380467811505,7881.170472138746,-3917.0690233905752,True,0.9568408643949128,0.8970014637648602,0.9066550438537977,VARIANCE_NOT_COMPUTED,,,,-0.4436634927591018,True,ok,False,ok,,False,"{""mu"": 0.026510953329643167, ""omega"": 0.007865498357475187, ""alpha[1]"": 0.07138207156836379, ""gamma[1]"": 0.01592531996987194, ""beta[1]"": 0.9952838629356318, ""nu"": 4.4957962898003485}",19_AR1_EGARCH11_t,08_EGARCH11_t
P,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9098.971287555069,9139.842450472264,-4542.485643777534,True,0.07989094730549465,0.4494718333395292,0.48507239961605586,VARIANCE_NOT_COMPUTED,,,,1.1121485380853413,True,ok,False,ok,,False,"{""mu"": 0.01178792560791207, ""omega"": 0.00445438850663909, ""alpha[1]"": 0.06176479251565272, ""gamma[1]"": 0.018432888476353645, ""beta[1]"": 0.9975479947802643, ""eta"": 6.569938753721763, ""lambda"": -0.08756569776292022}",09_EGARCH11_skewt,09_EGARCH11_skewt
RB,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8906.520822742343,8947.389225951243,-4446.260411371171,True,0.8092260683176221,0.9509764781643536,0.94934074799748,VARIANCE_NOT_COMPUTED,,,,0.4833613572962611,True,ok,False,ok,,False,"{""Const"": 0.03520808801728575, ""ret_pct[1]"": -0.04995241711773613, ""omega"": 0.011618376380227913, ""alpha[1]"": 0.1245562609530559, ""gamma[1]"": 0.01762917445773796, ""beta[1]"": 0.9936389700712333, ""nu"": 5.630649066488554}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
RU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9250.54836719275,9285.580792550347,-4619.274183596375,True,0.9055514892501798,0.995614528073855,0.9957846672186895,VARIANCE_NOT_COMPUTED,,,,0.6805035379741131,False,fourth_moment_warning:t_nu=3.3530,False,ok,,False,"{""mu"": 0.013560444796389634, ""omega"": 0.0036948643965445936, ""alpha[1]"": 0.0233881965048861, ""gamma[1]"": 0.03172908841922468, ""beta[1]"": 0.9987829744961244, ""nu"": 3.3530323562288062}",19_AR1_EGARCH11_t,08_EGARCH11_t
SN,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8642.85095137747,8683.71935458637,-4314.425475688735,True,0.18179802780686444,0.18203705762949793,0.21399600236515542,VARIANCE_NOT_COMPUTED,,,,-0.10646007906038694,False,fourth_moment_warning:t_nu=3.7399,False,ok,,False,"{""Const"": 0.033441266754404765, ""ret_pct[1]"": -0.05450940277577368, ""omega"": 0.027400449533985866, ""alpha[1]"": 0.1768666490992309, ""gamma[1]"": 0.009900058620716351, ""beta[1]"": 0.9897465190083751, ""nu"": 3.739863495031875}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t
SR,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,5970.202859466105,6005.235284823701,-2979.1014297330526,True,0.3283192749389414,0.8614539660663634,0.8684378332728466,VARIANCE_NOT_COMPUTED,,,,-1.0446349789446847,True,ok,False,ok,,False,"{""mu"": -0.00010322221281783475, ""omega"": 0.0008318830720254744, ""alpha[1]"": 0.05783955633982303, ""gamma[1]"": 0.01935637786052115, ""beta[1]"": 0.9899773220183467, ""nu"": 4.495132793775098}",19_AR1_EGARCH11_t,08_EGARCH11_t
TA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8845.687238582477,8874.880926380474,-4417.843619291239,True,0.8082394690313981,0.5121649437206044,0.5372459276977968,VARIANCE_NOT_COMPUTED,,,,-0.5775339249215337,True,ok,False,ok,,False,"{""mu"": 0.016193050910388376, ""omega"": 0.022036193827444563, ""alpha[1]"": 0.06274499233555274, ""beta[1]"": 0.9310200554209386, ""nu"": 1.1272449640678432}",05_GARCH11_ged,05_GARCH11_ged
V,03_GARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8373.075118066561,8402.268805864558,-4181.537559033281,True,0.3681209647103618,0.9607187749101825,0.964178981041338,VARIANCE_NOT_COMPUTED,,,,-0.7527205473800493,True,ok,False,ok,,False,"{""mu"": -0.006553931771349664, ""omega"": 0.025051970047611512, ""alpha[1]"": 0.061938272949000006, ""beta[1]"": 0.9273429043227573, ""nu"": 5.6313043241006655}",16_APARCH11_t,03_GARCH11_t
Y,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7758.643640148517,7799.514803065712,-3872.3218200742585,True,0.4332329882677063,0.9588211682187273,0.9614821782460945,VARIANCE_NOT_COMPUTED,,,,0.28554513744050974,True,ok,False,ok,,False,"{""mu"": 0.0040063751618724, ""omega"": 0.004085775421303997, ""alpha[1]"": 0.058778004740094536, ""gamma[1]"": 0.012359804146303985, ""beta[1]"": 0.9982759728479209, ""eta"": 5.142914577898615, ""lambda"": -0.08176195817318314}",09_EGARCH11_skewt,09_EGARCH11_skewt
