hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,symbol,best_model_name,sample_size,base_bandwidth_p,pvalue_adj_across_symbols,decision_adj_across_symbols
2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,6.204702903129079,0.6034831837437976,0.27309364959024063,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG,08_EGARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,11.681800239557026,11.681800239557026,10.344745210431984,3.523486403145761,0.3794693312655674,0.3521696871862393,10.344745210431983,2.655234090433142,0.5035544828015268,0.3072872425790739,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL,05_GARCH11_ged,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,16.638543570154365,16.638543570154365,13.660624304412574,6.072796600421602,0.4903703288094731,0.3119359343938678,13.66062430441257,3.513604213606914,0.8475397582372522,0.19834716805489183,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,AU,08_EGARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,16.098178175522516,16.098178175522516,15.505568217494183,5.349229121000526,0.11078417929450946,0.4558937456065225,15.505568217494181,3.916188124625111,0.15132315894172338,0.4398604007221849,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,CF,10_EGARCH21_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,15.860087605915574,15.860087605915574,19.74894248927616,15.726799981034047,-0.2472756624393014,0.5976525536990003,19.74894248927616,5.170176458341225,-0.7521706298992101,0.7740257732445495,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,CU,19_AR1_EGARCH11_t,2536,21.000862779367267,0.7671840604875775,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,7.613734048367846,7.613734048367846,17.725132171501997,9.050577346808002,-1.1172102878829364,0.8680477885844462,17.725132171502,4.6000910775329045,-2.198086505834368,0.9860285290232352,FAIL_TO_REJECT,-0.0007893403026644068,0.9857012769216795,True,5.603649335647478e-18,1.0,FG,19_AR1_EGARCH11_t,2536,21.000862779367267,0.8680477885844462,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,10.874273555310927,10.874273555310927,13.258041495157487,6.378262569285757,-0.37373311524136527,0.6456985573252867,13.258041495157485,3.4652323312244215,-0.6879099904404582,0.7542452675566534,FAIL_TO_REJECT,-0.01331981085868793,0.9980850629973903,True,-1.9612772674766174e-17,1.0,HC,19_AR1_EGARCH11_t,2536,21.000862779367267,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,24.174289895920634,24.174289895920634,14.948081233868049,6.900124514011745,1.3371075613660848,0.09059376468592262,14.948081233868043,3.9454956043559526,2.338415648433764,0.009682848374436226,FAIL_TO_REJECT,-0.004937690223211494,1.016780054799072,True,-1.9605041979979115e-17,1.0000000000000002,I,09_EGARCH11_skewt,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,18.805464520575992,18.805464520575992,27.90039771784113,18.29338182708464,-0.49717068627515604,0.6904656544388198,27.90039771784113,7.404235785639383,-1.2283419194868006,0.8903406795298566,FAIL_TO_REJECT,-0.012842628935019461,1.044367517193521,True,-1.2608211005206825e-17,1.0,JM,19_AR1_EGARCH11_t,2536,21.000862779367267,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,39.342732699948336,39.342732699948336,47.83894871837514,25.49415161092419,-0.33326137492593383,0.6305315035965307,47.838948718375136,12.688332639446285,-0.6696085498273611,0.7484463188367874,FAIL_TO_REJECT,-0.008172624069036839,1.075187449390133,True,-1.4003601414270797e-17,1.0,M,14_TARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,11.36103954798902,11.36103954798902,9.51662516335191,3.23442661041706,0.5702446234818986,0.2842558970602145,9.516625163351911,2.453362101382259,0.7517905259879654,0.22608852014505088,FAIL_TO_REJECT,0.01117115382430234,1.0020107901350048,True,-2.0305222050692655e-17,1.0,MA,05_GARCH11_ged,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,13.31692589787517,13.31692589787517,15.039996779725072,7.205115834948589,-0.23914547958994722,0.5945036114621337,15.039996779725067,3.8837337531070704,-0.4436634927591018,0.6713570532082604,FAIL_TO_REJECT,0.0004971283889549299,0.9774499449697346,True,5.601440565708318e-18,1.0,OI,08_EGARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,15.825594733258976,15.825594733258976,12.226352407808527,5.231148420651728,0.6880405670084264,0.24571361772135036,12.226352407808523,3.236296413828728,1.1121485380853413,0.1330371450971204,FAIL_TO_REJECT,0.00768312605397581,1.0085461147373243,True,-2.1005402121406193e-18,1.0,P,09_EGARCH11_skewt,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,14.9053009417642,14.9053009417642,13.232723596825517,5.960605519190765,0.2806052740033966,0.3895065852162255,13.232723596825519,3.460304221037527,0.4833613572962611,0.31441959048215473,FAIL_TO_REJECT,-0.010612385143930632,0.9992423833182624,True,-3.082007134606113e-17,1.0000000000000002,RB,19_AR1_EGARCH11_t,2536,21.000862779367267,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,47.2304085789804,47.2304085789804,40.15195098927051,33.58642767623616,0.21075351204195508,0.41653980785515654,40.15195098927051,10.401793958019306,0.6805035379741131,0.24809284119840114,FAIL_TO_REJECT,0.011600264605130514,0.9956530962045382,True,2.800720282854159e-18,0.9999999999999998,RU,08_EGARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2536,21.000862779367267,21,21,15,1.0,19.600217952870963,19.600217952870963,20.150505132800703,9.564758830098842,-0.05753278150600822,0.5229396032597515,20.150505132800703,5.168953327731442,-0.10646007906038694,0.5423913361743772,FAIL_TO_REJECT,0.02301488789485187,0.9478532327170377,True,2.801824667823739e-18,1.0,SN,19_AR1_EGARCH11_t,2536,21.000862779367267,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,10.607030905666303,10.607030905666303,14.532023299607907,5.982721775406575,-0.6560546422326097,0.7441055164965942,14.532023299607905,3.7572860119108054,-1.0446349789446847,0.851904146687787,FAIL_TO_REJECT,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,SR,08_EGARCH11_t,2537,21.00362278239279,0.783268964733257,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,10.262382070980962,10.262382070980962,12.037768560613452,4.881774593880693,-0.3636764572985279,0.6419501871972529,12.037768560613449,3.0740817344603584,-0.5775339249215337,0.7182105859401862,FAIL_TO_REJECT,-0.001471920624739017,1.0079910875234517,True,1.4003601414270797e-17,1.0,TA,05_GARCH11_ged,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,9.440235415334932,9.440235415334932,11.739789410781986,4.723650771311016,-0.4868171054078219,0.6868060263687369,11.739789410781983,3.0549903326685772,-0.7527205473800493,0.7741910700223389,FAIL_TO_REJECT,0.010772114033330171,0.9942500427336601,True,1.4003601414270797e-17,0.9999999999999998,V,03_GARCH11_t,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
2537,21.00362278239279,21,21,15,1.0,13.575084154101322,13.575084154101322,12.629833173160447,5.111777017639317,0.1849163172961335,0.4266473361762665,12.629833173160446,3.31033821627521,0.28554513744050974,0.38761326421241615,FAIL_TO_REJECT,0.008240476943186869,0.998016337943719,True,-1.2603241272843717e-17,0.9999999999999998,Y,09_EGARCH11_skewt,2537,21.00362278239279,0.7671840604875775,FAIL_TO_REJECT
